Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;956,38;[Erai-raws] Hibike! Euphonium 2 - 12 [1080p][Multiple Subtitle].mkv;Hibike!.Euphonium.2.E12.1080p.H265.mkv;[Erai-raws] Hibike! Euphonium 2 - 01 ~ 13 [1080p][Multiple Subtitle];/mnt/Media/Anime-Cartoon/Hibike! Euphonium/[Erai-raws] Hibike! Euphonium 2 - 01 ~ 13 [1080p][Multiple Subtitle]/[Erai-raws] Hibike! Euphonium 2 - 12 [1080p][Multiple Subtitle].mkv
NAO;955,44;[Aenianos & Kirinashi] Kimetsu no Yaiba - 11 (WEB 1080p AAC) [478C171B].mkv;Kimetsu.no.Yaiba.E11.1080p.H265.mkv;11;/mnt/Media/Anime-Cartoon/Kimetsu.no.Yaiba/[Erai-raws] Kimetsu no Yaiba - 01 ~ 26 [720p][Multiple Subtitle]/Legendas/11/[Aenianos & Kirinashi] Kimetsu no Yaiba - 11 (WEB 1080p AAC) [478C171B].mkv
NAO;955,32;[Cachorro Loko] Nana - 41 [BD 1080p FLAC] [94349CD9].mkv;Nana.E41.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 41 [BD 1080p FLAC] [94349CD9].mkv
NAO;952,61;09_A_estrela_de_cada_pessoa.mkv;A.estrela.de.cada.pessoa.E09.1080p.H265.mkv;Ginga Eiyuu Densetsu- Novo;/mnt/Media/Anime-Cartoon/LegendoftheGalacticHeroes-GingaEiyuuDensetsu/Ginga Eiyuu Densetsu- Novo/09_A_estrela_de_cada_pessoa.mkv
NAO;951,92;[Cachorro Loko] Nana - 45 [BD 1080p FLAC] [8E9B270C].mkv;Nana.E45.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 45 [BD 1080p FLAC] [8E9B270C].mkv
NAO;951,91;[Erai-raws] Toaru Majutsu no Index III - 06 [1080p][Multiple Subtitle].mkv;Toaru.Majutsu.no.Index.III.E06.1080p.H265.mkv;[Erai-raws] Toaru Majutsu no Index III - 01 ~ 26 [1080p][Multiple Subtitle];/mnt/Media/Anime-Cartoon/A Certain/[Erai-raws] Toaru Majutsu no Index III - 01 ~ 26 [1080p][Multiple Subtitle]/[Erai-raws] Toaru Majutsu no Index III - 06 [1080p][Multiple Subtitle].mkv
NAO;951,77;[Erai-raws] Golden Kamuy - 05 [1080p][Multiple Subtitle].mkv;Golden.Kamuy.E05.1080p.H265.mkv;[Erai-raws] Golden Kamuy - 01 ~ 12 [1080p][Multiple Subtitle];/mnt/Media/Anime-Cartoon/Golden Kamuy/[Erai-raws] Golden Kamuy - 01 ~ 12 [1080p][Multiple Subtitle]/[Erai-raws] Golden Kamuy - 05 [1080p][Multiple Subtitle].mkv
NAO;951,40;[Cachorro Loko] Nana - 37 [BD 1080p FLAC] [82D83C36].mkv;Nana.E37.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 37 [BD 1080p FLAC] [82D83C36].mkv
NAO;949,85;[DragsterPS] A Certain Scientific Railgun S02E24 [1080p] [English-Japanese Audio] [Multi-Subs] [78F63BE5].mkv;A.Certain.Scientific.Railgun.S02E24.1080p.H265.mkv;[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Scientific Railgun S02 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Scientific Railgun S02E24 [1080p] [English-Japanese Audio] [Multi-Subs] [78F63BE5].mkv
NAO;949,04;[Cachorro Loko] Nana - 47 [BD 1080p FLAC] [92805D0D].mkv;Nana.E47.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 47 [BD 1080p FLAC] [92805D0D].mkv
NAO;948,94;[Cachorro Loko] Nana - 42 [BD 1080p FLAC] [65E9E207].mkv;Nana.E42.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 42 [BD 1080p FLAC] [65E9E207].mkv
NAO;948,72;[DragsterPS] A Certain Magical Index S02E22 [1080p] [English-Japanese Audio] [Multi-Subs] [C3532763].mkv;A.Certain.Magical.Index.S02E22.1080p.H265.mkv;[DragsterPS] A Certain Magical Index S02 [1080p] [English-Japanese Audio] [Multi-Subs];/mnt/Media/Anime-Cartoon/A Certain/[DragsterPS] A Certain Magical Index S02 [1080p] [English-Japanese Audio] [Multi-Subs]/[DragsterPS] A Certain Magical Index S02E22 [1080p] [English-Japanese Audio] [Multi-Subs] [C3532763].mkv
NAO;948,08;[Erai-raws] Dr. Stone - 02 [1080p][Multiple Subtitle].mkv;Dr.Stone.E02.1080p.H265.mkv;[Erai-raws] Dr. Stone - 01 ~ 24 [1080p][Multiple Subtitle];/mnt/Media/Anime-Cartoon/Dr. Stone/[Erai-raws] Dr. Stone - 01 ~ 24 [1080p][Multiple Subtitle]/[Erai-raws] Dr. Stone - 02 [1080p][Multiple Subtitle].mkv
NAO;947,62;[Cachorro Loko] Nana - 44 [BD 1080p FLAC] [6C69F0FA].mkv;Nana.E44.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 44 [BD 1080p FLAC] [6C69F0FA].mkv
NAO;947,57;[Cachorro Loko] Nana - 43 [BD 1080p FLAC] [38628F99].mkv;Nana.E43.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 43 [BD 1080p FLAC] [38628F99].mkv
NAO;947,52;[Cachorro Loko] Nana - 40 [BD 1080p FLAC] [1588567F].mkv;Nana.E40.1080p.H265.mkv;Nana [BD 1080p FLAC];/mnt/Media/Anime-Cartoon/Nana [BD 1080p FLAC]/[Cachorro Loko] Nana - 40 [BD 1080p FLAC] [1588567F].mkv
NAO;946,95;[Erai-raws] Golden Kamuy 2nd Season - 10 [1080p][Multiple Subtitle].mkv;Golden.Kamuy.2nd.Season.E10.1080p.H265.mkv;[Erai-raws] Golden Kamuy 2nd Season - 01 ~ 12 [1080p][Multiple Subtitle];/mnt/Media/Anime-Cartoon/Golden Kamuy/[Erai-raws] Golden Kamuy 2nd Season - 01 ~ 12 [1080p][Multiple Subtitle]/[Erai-raws] Golden Kamuy 2nd Season - 10 [1080p][Multiple Subtitle].mkv
