Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;2879,58;A.Star.Is.Born.2018.Encore.Edition.1080p.BluRay.H264.AAC-RARBG.mp4;A.Star.Is.Born.2018.1080p.H265.mp4;A.Star.Is.Born.2018.Encore.Edition.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/2018/A.Star.Is.Born.2018.Encore.Edition.1080p.BluRay.H264.AAC-RARBG/A.Star.Is.Born.2018.Encore.Edition.1080p.BluRay.H264.AAC-RARBG.mp4
NAO;2863,91;The.Girl.Who.Kicked.the.Hornets.Nest.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT.mkv;The.Girl.Who.Kicked.the.Hornets.Nest.2009.1080p.H265.mkv;The.Girl.Who.Kicked.the.Hornets.Nest.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT;/mnt/Media/filmes/Franquias/The_Girl_With_The_Dragon_Tatoo/The.Girl.Who.Kicked.the.Hornets.Nest.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT/The.Girl.Who.Kicked.the.Hornets.Nest.2009.SWEDISH.1080p.BluRay.H264.AAC-VXT.mkv
NAO;2848,69;7-Harry.Potter.And.The.Deathly.Hallows.Part.1.2010.1080p.BluRay.H264.AAC-RARBG.mkv;7-Harry.Potter.And.The.Deathly.Hallows.2010.1080p.H265.mkv;HarryPotter;/mnt/Media/filmes/Franquias/HarryPotter/7-Harry.Potter.And.The.Deathly.Hallows.Part.1.2010.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2806,76;X-Men.Apocalypse.2016.1080p.BluRay.H264.AAC-RARBG.mkv;X-Men.Apocalypse.2016.1080p.H265.mkv;X-Men.Apocalypse.2016.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/Marvel-DC/X-Men/X-Men.Apocalypse.2016.1080p.BluRay.H264.AAC-RARBG/X-Men.Apocalypse.2016.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2796,35;Transformers.2007.1080p.BluRay.H264.AAC-RARBG.mkv;Transformers.2007.1080p.H265.mkv;Transformers.2007.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/OLD/Transformers.2007.1080p.BluRay.H264.AAC-RARBG/Transformers.2007.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2777,86;Star.Wars.Episode.II.Attack.of.the.Clones.2002.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv;Star.Wars.Episode.II.Attack.of.the.Clones.2002.1080p.H265.mkv;Star.Wars.Episode.II.Attack.of.the.Clones.2002.PROPER.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Star.Wars.Episode.II.Attack.of.the.Clones.2002.PROPER.1080p.BluRay.H264.AAC-RARBG/Star.Wars.Episode.II.Attack.of.the.Clones.2002.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2766,21;Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.WEBRip.x264-RARBG.mkv;Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.H265.mkv;Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.WEBRip.x264-RARBG;/mnt/Media/filmes/Franquias/StarWars/Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.WEBRip.x264-RARBG/Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.WEBRip.x264-RARBG.mkv
NAO;2763,56;3-Harry.Potter.And.The.Prisoner.Of.Azkaban.2004.1080p.BluRay.H264.AAC-RARBG.mkv;3-Harry.Potter.And.The.Prisoner.Of.Azkaban.2004.1080p.H265.mkv;HarryPotter;/mnt/Media/filmes/Franquias/HarryPotter/3-Harry.Potter.And.The.Prisoner.Of.Azkaban.2004.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2748,22;Fantastic.Beasts.The.Crimes.Of.Grindelwald.2018.EXTENDED.1080p.BluRay.H264.AAC-RARBG.mkv;Fantastic.Beasts.The.Crimes.Of.Grindelwald.2018.1080p.H265.mkv;Fantastic.Beasts.The.Crimes.Of.Grindelwald.2018.EXTENDED.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/HarryPotter/Fantastic.Beasts.The.Crimes.Of.Grindelwald.2018.EXTENDED.1080p.BluRay.H264.AAC-RARBG/Fantastic.Beasts.The.Crimes.Of.Grindelwald.2018.EXTENDED.1080p.BluRay.H264.AAC-RARBG.mkv
NAO;2731,14;Star.Wars.Episode.III.Revenge.of.the.Sith.2005.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv;Star.Wars.Episode.III.Revenge.of.the.Sith.2005.1080p.H265.mkv;Star.Wars.Episode.III.Revenge.of.the.Sith.2005.PROPER.1080p.BluRay.H264.AAC-RARBG;/mnt/Media/filmes/Franquias/StarWars/Star.Wars.Episode.III.Revenge.of.the.Sith.2005.PROPER.1080p.BluRay.H264.AAC-RARBG/Star.Wars.Episode.III.Revenge.of.the.Sith.2005.PROPER.1080p.BluRay.H264.AAC-RARBG.mkv
