Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
SIM;3651,89;dark.matter.2024.s01e08.1080p.web.h264-successfulcrab.mkv;dark.matter.2024.S01E08.1080p.H265.mkv;Dark.Matter.2024.S01E08.1080p.WEB.H264-SuccessfulCrab[TGx];\\192.168.0.99\Media\series\Dark.Matter.2024\Dark.Matter.2024.S01E08.1080p.WEB.H264-SuccessfulCrab[TGx]\dark.matter.2024.s01e08.1080p.web.h264-successfulcrab.mkv
SIM;3629,92;foundation.s02e05.1080p.web.h264-successfulcrab.mkv;foundation.S02E05.1080p.H265.mkv;Foundation.S02;\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\foundation.s02e05.1080p.web.h264-successfulcrab.mkv
SIM;3574,67;Dark Matter 2024 S01E01 Are You Happy in Your Life 1080p ATVP WEB-DL DDP5 1 H 264-NTb.mkv;Dark.Matter.2024.S01E01.1080p.H265.mkv;Dark.Matter.2024;\\192.168.0.99\Media\series\Dark.Matter.2024\Dark Matter 2024 S01E01 Are You Happy in Your Life 1080p ATVP WEB-DL DDP5 1 H 264-NTb.mkv
NAO;3305,42;The.Mandalorian.S02E03.Chapter.11.The.Heiress.1080p.WEBRip.DDP5.1.Atmos.x264-MZABI (1).mkv;The.Mandalorian.S02E03.1080p.H265.mkv;TheMandalorian;\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S02E03.Chapter.11.The.Heiress.1080p.WEBRip.DDP5.1.Atmos.x264-MZABI (1).mkv
NAO;3266,32;Avatar.The.Last.Airbender.S01E08.Legends.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv;Avatar.The.Last.Airbender.S01E08.1080p.H265.mkv;Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];\\192.168.0.99\Media\series\Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx]\Avatar.The.Last.Airbender.S01E08.Legends.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv
NAO;3153,65;Avatar.The.Last.Airbender.S01E04.Into.the.Dark.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv;Avatar.The.Last.Airbender.S01E04.1080p.H265.mkv;Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];\\192.168.0.99\Media\series\Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx]\Avatar.The.Last.Airbender.S01E04.Into.the.Dark.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN.mkv
NAO;3084,74;The.Mandalorian.S01E06.REPACK.1080p.WEBRiP.x264-PETRiFiED.mkv;The.Mandalorian.S01E06.1080p.H265.mkv;The.Mandalorian.S01E06.REPACK.1080p.WEBRiP.x264-PETRiFiED[rarbg];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E06.REPACK.1080p.WEBRiP.x264-PETRiFiED[rarbg]\The.Mandalorian.S01E06.REPACK.1080p.WEBRiP.x264-PETRiFiED.mkv
NAO;2964,54;Tomorrow.With.You.2017.S01E11.1080p.NF.WEB-DL.DDP2.0.x264-deeplife.mkv;Tomorrow.With.You.2017.S01E11.1080p.H265.mkv;Tomorrow.With.You.2017.KOREAN.1080p.NF.WEBRip.DDP2.0.x264-deeplife[rartv];\\192.168.0.99\Media\series\Tomorrow.With.You.2017.KOREAN.1080p.NF.WEBRip.DDP2.0.x264-deeplife[rartv]\Tomorrow.With.You.2017.S01E11.1080p.NF.WEB-DL.DDP2.0.x264-deeplife.mkv
NAO;2909,63;The.Book.of.Boba.Fett.S01E07.1080p.WEB.h264-KOGi.mkv;The.Book.of.Boba.Fett.S01E07.1080p.H265.mkv;The.Book.of.Boba.Fett.S01;\\192.168.0.99\Media\series\The.Book.of.Boba.Fett.S01\The.Book.of.Boba.Fett.S01E07.1080p.WEB.h264-KOGi.mkv
NAO;2796,92;Obi-Wan.Kenobi.S01E01.1080p.WEB.h264-KOGi.mkv;Obi-Wan.Kenobi.S01E01.1080p.H265.mkv;Obi-Wan.Kenobi.S01;\\192.168.0.99\Media\series\Obi-Wan.Kenobi.S01\Obi-Wan.Kenobi.S01E01.1080p.WEB.h264-KOGi.mkv
NAO;2740,43;The.Mandalorian.S01E08.1080p.WEBRiP.x264-PETRiFiED.mkv;The.Mandalorian.S01E08.1080p.H265.mkv;The.Mandalorian.S01E08.1080p.WEBRiP.x264-PETRiFiED[rarbg];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E08.1080p.WEBRiP.x264-PETRiFiED[rarbg]\The.Mandalorian.S01E08.1080p.WEBRiP.x264-PETRiFiED.mkv
NAO;2697,61;The.Mandalorian.S01E07.1080p.WEBRiP.x264-PETRiFiED.mkv;The.Mandalorian.S01E07.1080p.H265.mkv;The.Mandalorian.S01E07.1080p.WEBRiP.x264-PETRiFiED[rarbg];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E07.1080p.WEBRiP.x264-PETRiFiED[rarbg]\The.Mandalorian.S01E07.1080p.WEBRiP.x264-PETRiFiED.mkv
NAO;2639,57;Star.Wars.Andor.S01E12.Rix.Road.1080p.DSNP.WEB-DL.DDP5.1.H.264-NTb.mkv;Star.Wars.Andor.S01E12.1080p.H265.mkv;Andor.S01E12.Rix.Road.1080p.DSNP.WEBRip.DDP5.1.x264-NTb[rarbg];\\192.168.0.99\Media\series\Andor\Andor.S01E12.Rix.Road.1080p.DSNP.WEBRip.DDP5.1.x264-NTb[rarbg]\Star.Wars.Andor.S01E12.Rix.Road.1080p.DSNP.WEB-DL.DDP5.1.H.264-NTb.mkv
NAO;2605,90;The.Mandalorian.S02E02.Chapter.10.1080p.DSNP.WEB-DL.DDP.5.1.Atmos.H.264-PHOENiX (1).mkv;The.Mandalorian.S02E02.1080p.H265.mkv;TheMandalorian;\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S02E02.Chapter.10.1080p.DSNP.WEB-DL.DDP.5.1.Atmos.H.264-PHOENiX (1).mkv
NAO;2593,62;Tomorrow.With.You.2017.S01E01.1080p.NF.WEB-DL.DDP2.0.x264-deeplife.mkv;Tomorrow.With.You.2017.S01E01.1080p.H265.mkv;Tomorrow.With.You.2017.KOREAN.1080p.NF.WEBRip.DDP2.0.x264-deeplife[rartv];\\192.168.0.99\Media\series\Tomorrow.With.You.2017.KOREAN.1080p.NF.WEBRip.DDP2.0.x264-deeplife[rartv]\Tomorrow.With.You.2017.S01E01.1080p.NF.WEB-DL.DDP2.0.x264-deeplife.mkv
