Raiz;Categoria (Nível 1);Subpasta (Nível 2);Subpasta (Nível 3);Subpasta (Nível 4);Caminho Completo;Oportunidade (GB);Pendentes;Total de Arquivos
\\192.168.0.99\Media\;Anime-Cartoon;Solo Leveing;Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;;\\192.168.0.99\Media\Anime-Cartoon\Solo Leveing\Solo.Leveling.S02.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;20,53;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Solo Leveing;Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;;\\192.168.0.99\Media\Anime-Cartoon\Solo Leveing\Solo.Leveling.S01.1080p.CR.WEB-DL.MULTi.AAC2.0.H.264.MSubs-ToonsHub;20,36;13;13
\\192.168.0.99\Media\;series;Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];;;\\192.168.0.99\Media\series\Avatar.The.Last.Airbender.S01.COMPLETE.1080p.NF.WEB-DL.DDP5.1.x264-LiTTLEBLUEMAN[TGx];19,02;8;8
\\192.168.0.99\Media\;Anime-Cartoon;[Erai-raws] Asatir - Mirai no Mukashi Banashi - 01 ~ 13 (JPN Ver) [1080p];;;\\192.168.0.99\Media\Anime-Cartoon\[Erai-raws] Asatir - Mirai no Mukashi Banashi - 01 ~ 13 (JPN Ver) [1080p];18,96;13;13
\\192.168.0.99\Media\;Anime-Cartoon;[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub];;;\\192.168.0.99\Media\Anime-Cartoon\[Erai-raws] Moonrise - 01 ~ 18 [1080p NF WEB-DL AVC EAC3][MultiSub];18,94;18;18
\\192.168.0.99\Media\;Anime-Cartoon;Hibike! Euphonium;[Erai-raws] Hibike! Euphonium 2 - 01 ~ 13 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Hibike! Euphonium\[Erai-raws] Hibike! Euphonium 2 - 01 ~ 13 [1080p][Multiple Subtitle];18,41;13;13
\\192.168.0.99\Media\;series;Manhattan Season 1 and 2 Mp4 1080p;Season 1;;\\192.168.0.99\Media\series\Manhattan Season 1 and 2 Mp4 1080p\Season 1;18,34;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Hibike! Euphonium;[Erai-raws] Hibike! Euphonium - 01 ~ 14 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Hibike! Euphonium\[Erai-raws] Hibike! Euphonium - 01 ~ 14 [1080p][Multiple Subtitle];18,07;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Overlord;[Erai-raws] Overlord - 01 ~ 13 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Overlord\[Erai-raws] Overlord - 01 ~ 13 [1080p][Multiple Subtitle];18,01;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Ore no Kanojo to Osananajimi ga Shuraba Sugiru;;;\\192.168.0.99\Media\Anime-Cartoon\Ore no Kanojo to Osananajimi ga Shuraba Sugiru;17,82;14;15
\\192.168.0.99\Media\;Anime-Cartoon;Buddy Daddies;;;\\192.168.0.99\Media\Anime-Cartoon\Buddy Daddies;17,76;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Solo Level - Ore dake Level Up na Ken;;;\\192.168.0.99\Media\Anime-Cartoon\Solo Level - Ore dake Level Up na Ken;17,76;13;13
\\192.168.0.99\Media\;Anime-Cartoon;[Erai-raws] The Fable - 01 ~ 25 [1080p DSNP WEB-DL AVC AAC][MultiSub];;;\\192.168.0.99\Media\Anime-Cartoon\[Erai-raws] The Fable - 01 ~ 25 [1080p DSNP WEB-DL AVC AAC][MultiSub];17,75;25;25
\\192.168.0.99\Media\;Anime-Cartoon;Rakudai Kishi no Cavalry [1080p][BD];;;\\192.168.0.99\Media\Anime-Cartoon\Rakudai Kishi no Cavalry [1080p][BD];17,72;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Jaku-Chara Tomozaki-kun - 01-14 - 1080p WEB x264 -NanDesuKa (CR);;;\\192.168.0.99\Media\Anime-Cartoon\Jaku-Chara Tomozaki-kun - 01-14 - 1080p WEB x264 -NanDesuKa (CR);17,65;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Overlord;[Erai-raws] Overlord IV - 01 ~ 13 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Overlord\[Erai-raws] Overlord IV - 01 ~ 13 [1080p][Multiple Subtitle];17,65;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Overlord;[Erai-raws] Overlord II - 01 ~ 13 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Overlord\[Erai-raws] Overlord II - 01 ~ 13 [1080p][Multiple Subtitle];17,6;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Overlord;[Erai-raws] Overlord III - 01 ~ 13 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Overlord\[Erai-raws] Overlord III - 01 ~ 13 [1080p][Multiple Subtitle];17,58;13;13
\\192.168.0.99\Media\;Anime-Cartoon;[INDEX] 07-Ghost [AV1][Hi10][1080p][FLAC] (English Subbed);;;\\192.168.0.99\Media\Anime-Cartoon\[INDEX] 07-Ghost [AV1][Hi10][1080p][FLAC] (English Subbed);17,43;25;25
\\192.168.0.99\Media\;Anime-Cartoon;Princess Connect! Re-Dive - 01 ~ 13 [720p][Multiple Subtitle];;;\\192.168.0.99\Media\Anime-Cartoon\Princess Connect! Re-Dive - 01 ~ 13 [720p][Multiple Subtitle];17,15;25;25
\\192.168.0.99\Media\;Anime-Cartoon;[Kanshin] CardCaptureSakura;;;\\192.168.0.99\Media\Anime-Cartoon\[Kanshin] CardCaptureSakura;17,08;70;70
\\192.168.0.99\Media\;Anime-Cartoon;A Certain;[DragsterPS] A Certain Magical Index S01 [1080p] [English-Japanese Audio] [Multi-Subs];;\\192.168.0.99\Media\Anime-Cartoon\A Certain\[DragsterPS] A Certain Magical Index S01 [1080p] [English-Japanese Audio] [Multi-Subs];16,96;24;24
