Raiz;Categoria (Nível 1);Subpasta (Nível 2);Subpasta (Nível 3);Subpasta (Nível 4);Caminho Completo;Oportunidade (GB);Pendentes;Total de Arquivos
\\192.168.0.99\Media\;Anime-Cartoon;Birdie Wing;;;\\192.168.0.99\Media\Anime-Cartoon\Birdie Wing;9,01;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Kunoichi Tsubaki no Mune no Uchi;;;\\192.168.0.99\Media\Anime-Cartoon\Kunoichi Tsubaki no Mune no Uchi;8,94;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Kawaii dake ja Nai Shikimori-san;;;\\192.168.0.99\Media\Anime-Cartoon\Kawaii dake ja Nai Shikimori-san;8,81;13;13
\\192.168.0.99\Media\;Anime-Cartoon;X-MenEvolution;;;\\192.168.0.99\Media\Anime-Cartoon\X-MenEvolution;8,81;49;49
\\192.168.0.99\Media\;filmes;Asian;Sympathy.For.Mr.Vengeance.2002.1080p.BluRay.x264-CiNEFiLE;;\\192.168.0.99\Media\filmes\Asian\Sympathy.For.Mr.Vengeance.2002.1080p.BluRay.x264-CiNEFiLE;8,75;1;1
\\192.168.0.99\Media\;filmes;OLD;Oblivion.2013.1080p.BluRay.x264-SPARKS;;\\192.168.0.99\Media\filmes\OLD\Oblivion.2013.1080p.BluRay.x264-SPARKS;8,74;1;1
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason6;avi;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason6\avi;8,73;30;30
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason5;avi;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason5\avi;8,71;30;30
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;Filmes;;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\Filmes;8,43;5;5
\\192.168.0.99\Media\;Anime-Cartoon;Deaimon;;;\\192.168.0.99\Media\Anime-Cartoon\Deaimon;8,43;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;Haikyuu!! 2aTemporada;;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\Haikyuu!! 2aTemporada;8,42;28;28
\\192.168.0.99\Media\;Anime-Cartoon;Aharen-san wa Hakarenai;;;\\192.168.0.99\Media\Anime-Cartoon\Aharen-san wa Hakarenai;8,37;12;12
\\192.168.0.99\Media\;series;TheMandalorian;;;\\192.168.0.99\Media\series\TheMandalorian;8,35;3;3
\\192.168.0.99\Media\;Anime-Cartoon;Gaikotsu Kishi-sama Tadaima Isekai e Odekake-chuu;;;\\192.168.0.99\Media\Anime-Cartoon\Gaikotsu Kishi-sama Tadaima Isekai e Odekake-chuu;8,31;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Fantasy Bishoujo Juniku Ojisan to;;;\\192.168.0.99\Media\Anime-Cartoon\Fantasy Bishoujo Juniku Ojisan to;8,31;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Koroshi Ai;;;\\192.168.0.99\Media\Anime-Cartoon\Koroshi Ai;8,27;12;12
\\192.168.0.99\Media\;Anime-Cartoon;RPG Fudousan;;;\\192.168.0.99\Media\Anime-Cartoon\RPG Fudousan;8,26;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Leadale no Daichi nite;;;\\192.168.0.99\Media\Anime-Cartoon\Leadale no Daichi nite;8,26;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Koi wa Sekai Seifuku no Ato de;;;\\192.168.0.99\Media\Anime-Cartoon\Koi wa Sekai Seifuku no Ato de;8,26;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Sono Bisque Doll wa Koi o Suru;;;\\192.168.0.99\Media\Anime-Cartoon\Sono Bisque Doll wa Koi o Suru;8,24;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;[Ichiban] Haikyuu!! Second Season [1280x720][HDTV];;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\[Ichiban] Haikyuu!! Second Season [1280x720][HDTV];8,21;27;27
\\192.168.0.99\Media\;Anime-Cartoon;Kaijin Kaihatsubu no Kuroitsu-san;;;\\192.168.0.99\Media\Anime-Cartoon\Kaijin Kaihatsubu no Kuroitsu-san;8,2;12;12
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason7;avi;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason7\avi;8,17;28;28
\\192.168.0.99\Media\;Anime-Cartoon;Bakuon;;;\\192.168.0.99\Media\Anime-Cartoon\Bakuon;8,16;16;16
\\192.168.0.99\Media\;Anime-Cartoon;SteinsGate;S01;SteinsGate+OAD720p;\\192.168.0.99\Media\Anime-Cartoon\SteinsGate\S01\SteinsGate+OAD720p;8,11;25;25
\\192.168.0.99\Media\;series;Jennieeumgenio;Season 2;;\\192.168.0.99\Media\series\Jennieeumgenio\Season 2;8,07;31;31
\\192.168.0.99\Media\;Anime-Cartoon;Shin no Nakama ja Nai to Yuusha no Party o Oidasareta node_Henkyou de Slow Life Suru Koto ni Shimashita;;;\\192.168.0.99\Media\Anime-Cartoon\Shin no Nakama ja Nai to Yuusha no Party o Oidasareta node_Henkyou de Slow Life Suru Koto ni Shimashita;8,02;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Kono_Yo_no_Hate_de_Koi_wo_Utau_Shoujo_YU-NO;;;\\192.168.0.99\Media\Anime-Cartoon\Kono_Yo_no_Hate_de_Koi_wo_Utau_Shoujo_YU-NO;7,95;24;24
\\192.168.0.99\Media\;Anime-Cartoon;Heroine Taru Mono;;;\\192.168.0.99\Media\Anime-Cartoon\Heroine Taru Mono;7,92;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Slow Loop;;;\\192.168.0.99\Media\Anime-Cartoon\Slow Loop;7,88;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Shijou Saikyou no Daimaou Murabito A ni Tensei Suru;;;\\192.168.0.99\Media\Anime-Cartoon\Shijou Saikyou no Daimaou Murabito A ni Tensei Suru;7,85;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Gensou Sangokushi - Tengen Reishinki;;;\\192.168.0.99\Media\Anime-Cartoon\Gensou Sangokushi - Tengen Reishinki;7,79;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Barakamon;;;\\192.168.0.99\Media\Anime-Cartoon\Barakamon;7,77;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Medalist;;;\\192.168.0.99\Media\Anime-Cartoon\Medalist;7,76;10;14
\\192.168.0.99\Media\;Anime-Cartoon;K-On;K-On! (Season 01+02+Movie+OVA+Specials) [BD][Dual Audio][1080p][HEVC 10bit x265][AAC][Eng Sub];[Anime Time] K-On!! (Season 2);\\192.168.0.99\Media\Anime-Cartoon\K-On\K-On! (Season 01+02+Movie+OVA+Specials) [BD][Dual Audio][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] K-On!! (Season 2);7,66;27;27
\\192.168.0.99\Media\;Anime-Cartoon;Kenja no Deshi o Nanoru Kenja;;;\\192.168.0.99\Media\Anime-Cartoon\Kenja no Deshi o Nanoru Kenja;7,44;12;12
\\192.168.0.99\Media\;filmes;Franquias;I Spit On Your Grave - Complete 5 Movie Collection 1978-2019 Eng Subs 720p [H264-mp4];I Spit On Your Grave 5 Film Collection;\\192.168.0.99\Media\filmes\Franquias\I Spit On Your Grave - Complete 5 Movie Collection 1978-2019 Eng Subs 720p [H264-mp4]\I Spit On Your Grave 5 Film Collection;7,34;5;5
\\192.168.0.99\Media\;Anime-Cartoon;Mieruko-chan;;;\\192.168.0.99\Media\Anime-Cartoon\Mieruko-chan;7,34;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Princess_Lover;;;\\192.168.0.99\Media\Anime-Cartoon\Princess_Lover;7,26;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Tensai Ouji no Akaji Kokka Saiseijutsu;;;\\192.168.0.99\Media\Anime-Cartoon\Tensai Ouji no Akaji Kokka Saiseijutsu;7,24;12;12
\\192.168.0.99\Media\;series;Jennieeumgenio;Season 3;;\\192.168.0.99\Media\series\Jennieeumgenio\Season 3;7,08;27;27
\\192.168.0.99\Media\;Anime-Cartoon;Kimetsu.no.Yaiba;S02 Mugen Ressha Hen;;\\192.168.0.99\Media\Anime-Cartoon\Kimetsu.no.Yaiba\S02 Mugen Ressha Hen;6,98;9;9
\\192.168.0.99\Media\;Anime-Cartoon;Kage no Jitsuryokusha ni Naritakute!;[Erai-raws] Kage no Jitsuryokusha ni Naritakute! - 01 ~ 20 [1080p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Kage no Jitsuryokusha ni Naritakute!\[Erai-raws] Kage no Jitsuryokusha ni Naritakute! - 01 ~ 20 [1080p][Multiple Subtitle];6,96;20;20
\\192.168.0.99\Media\;MBA-Empiricus;Módulo 1 - Fundamentos de Economia e Finanças;Matemática Financeira Aplicada - Edgar Abreu;;\\192.168.0.99\Media\MBA-Empiricus\Módulo 1 - Fundamentos de Economia e Finanças\Matemática Financeira Aplicada - Edgar Abreu;6,93;17;17
\\192.168.0.99\Media\;filmes;Damsel 2024 1080p MULTI WEB-DL H264-REVILS;;;\\192.168.0.99\Media\filmes\Damsel 2024 1080p MULTI WEB-DL H264-REVILS;6,91;1;1
\\192.168.0.99\Media\;series;Obi-Wan.Kenobi.S01;;;\\192.168.0.99\Media\series\Obi-Wan.Kenobi.S01;6,9;3;3
\\192.168.0.99\Media\;series;Jennieeumgenio;Season 5;;\\192.168.0.99\Media\series\Jennieeumgenio\Season 5;6,75;26;26
\\192.168.0.99\Media\;series;Jennieeumgenio;Season 1-Incompleta;;\\192.168.0.99\Media\series\Jennieeumgenio\Season 1-Incompleta;6,69;26;26
\\192.168.0.99\Media\;series;Jennieeumgenio;Season 4;;\\192.168.0.99\Media\series\Jennieeumgenio\Season 4;6,68;26;26
\\192.168.0.99\Media\;Anime-Cartoon;SwordArtOnLine;Season1;;\\192.168.0.99\Media\Anime-Cartoon\SwordArtOnLine\Season1;6,57;25;25
\\192.168.0.99\Media\;Anime-Cartoon;Senjou no Valkyria [HDTV][720p];;;\\192.168.0.99\Media\Anime-Cartoon\Senjou no Valkyria [HDTV][720p];6,31;26;26
\\192.168.0.99\Media\;series;DNA_do_Crime;;;\\192.168.0.99\Media\series\DNA_do_Crime;6,28;8;8
\\192.168.0.99\Media\;Anime-Cartoon;SpyxFamily;Dublado Portugues;;\\192.168.0.99\Media\Anime-Cartoon\SpyxFamily\Dublado Portugues;6,26;16;16
\\192.168.0.99\Media\;Anime-Cartoon;The Daily Life of the Immortal King;[SubsPlease] The Daily Life of the Immortal King S2 (01-12) (720p) [Batch];;\\192.168.0.99\Media\Anime-Cartoon\The Daily Life of the Immortal King\[SubsPlease] The Daily Life of the Immortal King S2 (01-12) (720p) [Batch];6,22;12;12
\\192.168.0.99\Media\;series;ArcanjoRenegado;;;\\192.168.0.99\Media\series\ArcanjoRenegado;6,14;10;10
\\192.168.0.99\Media\;Anime-Cartoon;Kobayashi-san Chi no Maid Dragon;[Erai-raws] Kobayashi-san Chi no Maid Dragon - 01 ~ 13 + Special [720p][Multiple Subtitle];;\\192.168.0.99\Media\Anime-Cartoon\Kobayashi-san Chi no Maid Dragon\[Erai-raws] Kobayashi-san Chi no Maid Dragon - 01 ~ 13 + Special [720p][Multiple Subtitle];6,11;14;14
\\192.168.0.99\Media\;Anime-Cartoon;RegalAcademy;;;\\192.168.0.99\Media\Anime-Cartoon\RegalAcademy;6,08;17;17
\\192.168.0.99\Media\;Anime-Cartoon;SteinsGate;"Steins;Gate 0";;"\\192.168.0.99\Media\Anime-Cartoon\SteinsGate\Steins;Gate 0";5,85;25;25
\\192.168.0.99\Media\;filmes;2021;Encanto.2021.1080p.DSNP.WEBRip.DDP5.1.Atmos.x264-MZABI;;\\192.168.0.99\Media\filmes\2021\Encanto.2021.1080p.DSNP.WEBRip.DDP5.1.Atmos.x264-MZABI;5,79;1;1
\\192.168.0.99\Media\;MBA-Empiricus;Módulo 0 - Primeiros Passos;Carreira e as Certificações do Mercado Financeiro - Edgar Abreu;;\\192.168.0.99\Media\MBA-Empiricus\Módulo 0 - Primeiros Passos\Carreira e as Certificações do Mercado Financeiro - Edgar Abreu;5,71;6;6
\\192.168.0.99\Media\;Anime-Cartoon;[KnF] Zipang [DVD];;;\\192.168.0.99\Media\Anime-Cartoon\[KnF] Zipang [DVD];5,68;26;26
\\192.168.0.99\Media\;filmes;Franquias;Marvel-DC;X-Men;\\192.168.0.99\Media\filmes\Franquias\Marvel-DC\X-Men\X-Men.Days.of.Future.Past.2014.THE.ROGUE.CUT.1080p.BluRay.H264.AAC-RARBG;5,67;3;3
\\192.168.0.99\Media\;filmes;2017;Blade.Runner.2049.2017.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2017\Blade.Runner.2049.2017.1080p.WEB-DL.DD5.1.H264-FGT;5,65;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;[Ichiban] Haikyuu!! Karasuno Koukou VS Shiratorizawa Gakuen Koukou [720p];;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\[Ichiban] Haikyuu!! Karasuno Koukou VS Shiratorizawa Gakuen Koukou [720p];5,62;11;11
\\192.168.0.99\Media\;Anime-Cartoon;Yakunara Mug Cup mo;;;\\192.168.0.99\Media\Anime-Cartoon\Yakunara Mug Cup mo;5,53;12;12
\\192.168.0.99\Media\;MBA-Empiricus;Módulo 1 - Fundamentos de Economia e Finanças;Instrumentos de Renda Fixa, Renda Variável e Derivativo - Eduardo Mello;;\\192.168.0.99\Media\MBA-Empiricus\Módulo 1 - Fundamentos de Economia e Finanças\Instrumentos de Renda Fixa, Renda Variável e Derivativo - Eduardo Mello;5,52;15;15
\\192.168.0.99\Media\;Anime-Cartoon;K-On;[PA] K-On!;;\\192.168.0.99\Media\Anime-Cartoon\K-On\[PA] K-On!;5,45;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Mahou Tsukai no Yome [HDTV][720p];;;\\192.168.0.99\Media\Anime-Cartoon\Mahou Tsukai no Yome [HDTV][720p];5,43;24;24
\\192.168.0.99\Media\;filmes;Mercy 2026 1080p iT WEB-DL DDP5 1 Atmos H 265-WADU;;;\\192.168.0.99\Media\filmes\Mercy 2026 1080p iT WEB-DL DDP5 1 Atmos H 265-WADU;5,37;1;1
\\192.168.0.99\Media\;filmes;2023;The.Ritual.Killer.2023.1080p.AMZN.WEBRip.DDP5.1.x264-CM;;\\192.168.0.99\Media\filmes\2023\The.Ritual.Killer.2023.1080p.AMZN.WEBRip.DDP5.1.x264-CM;5,26;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Parry Everything;;;\\192.168.0.99\Media\Anime-Cartoon\Parry Everything;5,25;6;14
\\192.168.0.99\Media\;filmes;Franquias;Marvel-DC;Thor.Ragnarok.2017.1080p.WEB-DL.DD5.1.H264-FGT;\\192.168.0.99\Media\filmes\Franquias\Marvel-DC\Thor.Ragnarok.2017.1080p.WEB-DL.DD5.1.H264-FGT;5,16;1;1
\\192.168.0.99\Media\;filmes;Franquias;Marvel-DC;Avengers.Infinity.War.2018.1080p.WEB-DL.DD5.1.H264-FGT;\\192.168.0.99\Media\filmes\Franquias\Marvel-DC\Avengers.Infinity.War.2018.1080p.WEB-DL.DD5.1.H264-FGT;5,13;1;1
\\192.168.0.99\Media\;filmes;OLD;Invictus.2009.1080p.BluRay.H264.AAC-RARBG;;\\192.168.0.99\Media\filmes\OLD\Invictus.2009.1080p.BluRay.H264.AAC-RARBG;5,09;2;2
\\192.168.0.99\Media\;Anime-Cartoon;Nande Koko ni Sensei ga + Especial [BD 1080p FLAC];;;\\192.168.0.99\Media\Anime-Cartoon\Nande Koko ni Sensei ga + Especial [BD 1080p FLAC];5,06;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Avatar;Avatar A Lenda de Aang;Videos Livro1;\\192.168.0.99\Media\Anime-Cartoon\Avatar\Avatar A Lenda de Aang\Videos Livro1;5,05;20;20
\\192.168.0.99\Media\;Anime-Cartoon;Shokei Shoujo no Virgin Road;;;\\192.168.0.99\Media\Anime-Cartoon\Shokei Shoujo no Virgin Road;5,03;15;15
\\192.168.0.99\Media\;filmes;Franquias;Lord of the Rings;The.Lord.of.the.Rings.The.Return.of.the.King.2003.EXTENDED.1080p.BluRay.H264.AAC-RARBG;\\192.168.0.99\Media\filmes\Franquias\Lord of the Rings\The.Lord.of.the.Rings.The.Return.of.the.King.2003.EXTENDED.1080p.BluRay.H264.AAC-RARBG;5,01;1;1
\\192.168.0.99\Media\;Anime-Cartoon;A Certain;;;\\192.168.0.99\Media\Anime-Cartoon\A Certain;5,01;1;1
\\192.168.0.99\Media\;series;TheMandalorian;The.Mandalorian.S01;The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE[rarbg];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E01.INTERNAL.1080p.WEB.H264-DEFLATE[rarbg];5,0;2;2
\\192.168.0.99\Media\;Anime-Cartoon;Zuihou De Zhaohuan Shi;;;\\192.168.0.99\Media\Anime-Cartoon\Zuihou De Zhaohuan Shi;4,87;7;7
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason4;mp4;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason4\mp4;4,86;33;33
\\192.168.0.99\Media\;Anime-Cartoon;Eyes of Wakanda S01 1080p DSNP WEB-DL DDP5 1 Atmos H 264-WADU;;;\\192.168.0.99\Media\Anime-Cartoon\Eyes of Wakanda S01 1080p DSNP WEB-DL DDP5 1 Atmos H 264-WADU;4,86;4;4
\\192.168.0.99\Media\;Anime-Cartoon;Yuusha Yamemasu;;;\\192.168.0.99\Media\Anime-Cartoon\Yuusha Yamemasu;4,8;15;15
\\192.168.0.99\Media\;filmes;2018;Sicario.Day.of.the.Soldado.2018.1080p.AMZN.WEBRip.DDP5.1.x264-NTG;;\\192.168.0.99\Media\filmes\2018\Sicario.Day.of.the.Soldado.2018.1080p.AMZN.WEBRip.DDP5.1.x264-NTG;4,76;1;1
\\192.168.0.99\Media\;filmes;2018;Bohemian.Rhapsody.2018.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2018\Bohemian.Rhapsody.2018.1080p.WEB-DL.DD5.1.H264-FGT;4,65;1;1
\\192.168.0.99\Media\;filmes;Franquias;Marvel-DC;Guardians.of.the.Galaxy.Vol.2.2017.1080p.WEB-DL.DD5.1.H264-FGT;\\192.168.0.99\Media\filmes\Franquias\Marvel-DC\Guardians.of.the.Galaxy.Vol.2.2017.1080p.WEB-DL.DD5.1.H264-FGT;4,65;1;1
\\192.168.0.99\Media\;series;O Doutrinador;;;\\192.168.0.99\Media\series\O Doutrinador;4,65;7;7
\\192.168.0.99\Media\;series;Foundation.2021.S01.1080p.WEBRip.x265-RARBG;Foundation.S02;Foundation.S02E09.1080p.WEB.H264-SuccessfulCrab[TGx];\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\Foundation.S02E09.1080p.WEB.H264-SuccessfulCrab[TGx];4,64;1;1
\\192.168.0.99\Media\;series;TheMandalorian;The.Mandalorian.S01;The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM[rartv];\\192.168.0.99\Media\series\TheMandalorian\The.Mandalorian.S01\The.Mandalorian.S01E02.1080p.WEBRip.DDP5.1.x264-CUSTOM[rartv];4,63;2;2
\\192.168.0.99\Media\;filmes;2018;Vice.2018.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2018\Vice.2018.1080p.WEB-DL.DD5.1.H264-FGT;4,61;1;1
\\192.168.0.99\Media\;Anime-Cartoon;CityHunter;Temporada2;;\\192.168.0.99\Media\Anime-Cartoon\CityHunter\Temporada2;4,61;63;63
\\192.168.0.99\Media\;filmes;2017;T2.Trainspotting.2017.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2017\T2.Trainspotting.2017.1080p.WEB-DL.DD5.1.H264-FGT;4,58;1;1
\\192.168.0.99\Media\;series;Foundation.2021.S01.1080p.WEBRip.x265-RARBG;Foundation.S02;Foundation.S02E08.1080p.WEB.h264-ETHEL[TGx];\\192.168.0.99\Media\series\Foundation.2021.S01.1080p.WEBRip.x265-RARBG\Foundation.S02\Foundation.S02E08.1080p.WEB.h264-ETHEL[TGx];4,57;1;1
\\192.168.0.99\Media\;filmes;2017;The.Shack.2017.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2017\The.Shack.2017.1080p.WEB-DL.DD5.1.H264-FGT;4,56;1;1
\\192.168.0.99\Media\;Anime-Cartoon;CopCraft;;;\\192.168.0.99\Media\Anime-Cartoon\CopCraft;4,56;12;12
\\192.168.0.99\Media\;filmes;Franquias;Lord of the Rings;The.Lord.of.the.Rings.The.Two.Towers.2002.EXTENDED.1080p.BluRay.H264.AAC-RARBG;\\192.168.0.99\Media\filmes\Franquias\Lord of the Rings\The.Lord.of.the.Rings.The.Two.Towers.2002.EXTENDED.1080p.BluRay.H264.AAC-RARBG;4,48;1;1
\\192.168.0.99\Media\;series;Dark.Matter.2024;Dark.Matter.2024.S01E09.1080p.WEB.H264-SuccessfulCrab[TGx];;\\192.168.0.99\Media\series\Dark.Matter.2024\Dark.Matter.2024.S01E09.1080p.WEB.H264-SuccessfulCrab[TGx];4,45;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Honzuki no Gekokujou_ Seasons_1-2-3+OVA;Honzuki no Gekokujou S1;;\\192.168.0.99\Media\Anime-Cartoon\Honzuki no Gekokujou_ Seasons_1-2-3+OVA\Honzuki no Gekokujou S1;4,45;14;14
\\192.168.0.99\Media\;Anime-Cartoon;Avatar;Avatar A Lenda de Aang;Videos Livro 3 - Fogo;\\192.168.0.99\Media\Anime-Cartoon\Avatar\Avatar A Lenda de Aang\Videos Livro 3 - Fogo;4,45;21;21
\\192.168.0.99\Media\;Anime-Cartoon;ZeroNoTsukaima;S01;Lolicons;\\192.168.0.99\Media\Anime-Cartoon\ZeroNoTsukaima\S01\Lolicons;4,45;15;15
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason6;mp4;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason6\mp4;4,43;30;30
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason5;mp4;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason5\mp4;4,41;30;30
\\192.168.0.99\Media\;Anime-Cartoon;Avatar;Avatar A Lenda de Aang;VideosLivro 2 - Terra;\\192.168.0.99\Media\Anime-Cartoon\Avatar\Avatar A Lenda de Aang\VideosLivro 2 - Terra;4,4;20;20
\\192.168.0.99\Media\;Anime-Cartoon;Honzuki no Gekokujou_ Seasons_1-2-3+OVA;Honzuki no Gekokujou S2;;\\192.168.0.99\Media\Anime-Cartoon\Honzuki no Gekokujou_ Seasons_1-2-3+OVA\Honzuki no Gekokujou S2;4,39;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Akuyaku Reijou Tensei Ojisan;;;\\192.168.0.99\Media\Anime-Cartoon\Akuyaku Reijou Tensei Ojisan;4,36;5;5
\\192.168.0.99\Media\;MBA-Empiricus;Módulo 2 - Princípios de Finanças Corporativas;Contabilidade e Análise das Demonstrações Financeiras - Marco Goulart;;\\192.168.0.99\Media\MBA-Empiricus\Módulo 2 - Princípios de Finanças Corporativas\Contabilidade e Análise das Demonstrações Financeiras - Marco Goulart;4,36;16;16
\\192.168.0.99\Media\;Anime-Cartoon;Haikyuu!!;Haikyuu!! 3aTemporada Karasuno Koukou VS Shiratorizawa Gakuen Koukou;10bits;\\192.168.0.99\Media\Anime-Cartoon\Haikyuu!!\Haikyuu!! 3aTemporada Karasuno Koukou VS Shiratorizawa Gakuen Koukou\10bits;4,35;10;10
\\192.168.0.99\Media\;filmes;Franquias;Lord of the Rings;The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.EXTENDED.1080p.BluRay.H264.AAC-RARBG;\\192.168.0.99\Media\filmes\Franquias\Lord of the Rings\The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.EXTENDED.1080p.BluRay.H264.AAC-RARBG;4,35;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta - 01 ~ 12 [1080p][Multiple Subtitle];;;\\192.168.0.99\Media\Anime-Cartoon\Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta - 01 ~ 12 [1080p][Multiple Subtitle];4,33;12;12
\\192.168.0.99\Media\;series;Ponies - Season 1;;;\\192.168.0.99\Media\series\Ponies - Season 1;4,32;8;8
\\192.168.0.99\Media\;filmes;2023;Rustin.2023.1080p.WEB.h264-EDITH[TGx];;\\192.168.0.99\Media\filmes\2023\Rustin.2023.1080p.WEB.h264-EDITH[TGx];4,26;1;1
\\192.168.0.99\Media\;MBA-Empiricus;Módulo 2 - Princípios de Finanças Corporativas;Gestão Clássica de Carteiras - Bruno Oliva;;\\192.168.0.99\Media\MBA-Empiricus\Módulo 2 - Princípios de Finanças Corporativas\Gestão Clássica de Carteiras - Bruno Oliva;4,25;10;10
\\192.168.0.99\Media\;Anime-Cartoon;Isekai Nonbiri Nouka;;;\\192.168.0.99\Media\Anime-Cartoon\Isekai Nonbiri Nouka;4,25;12;12
\\192.168.0.99\Media\;filmes;Franquias;Marvel-DC;Aquaman.2018.1080p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT;\\192.168.0.99\Media\filmes\Franquias\Marvel-DC\Aquaman.2018.1080p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT;4,24;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Behemoth;;;\\192.168.0.99\Media\Anime-Cartoon\Behemoth;4,18;5;8
\\192.168.0.99\Media\;filmes;2018;The.Equalizer.2.2018.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2018\The.Equalizer.2.2018.1080p.WEB-DL.DD5.1.H264-FGT;4,15;1;1
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason7;mp4;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason7\mp4;4,14;28;28
\\192.168.0.99\Media\;Anime-Cartoon;Karakai Jouzu no Takagi-san;[Hacchi Fansub] Karakai Jouzu no Takagi-san [HD 720p] [Completo];;\\192.168.0.99\Media\Anime-Cartoon\Karakai Jouzu no Takagi-san\[Hacchi Fansub] Karakai Jouzu no Takagi-san [HD 720p] [Completo];4,12;13;13
\\192.168.0.99\Media\;Anime-Cartoon;The Daily Life of the Immortal King;[GST] The Daily Life of the Immortal King Season 1 -  (01-15) [720p][Multi-Subs];;\\192.168.0.99\Media\Anime-Cartoon\The Daily Life of the Immortal King\[GST] The Daily Life of the Immortal King Season 1 -  (01-15) [720p][Multi-Subs];4,12;15;15
\\192.168.0.99\Media\;filmes;2017;Jumanji.Welcome.to.the.Jungle.2017.1080p.WEB-DL.DD5.1.H264-FGT;;\\192.168.0.99\Media\filmes\2017\Jumanji.Welcome.to.the.Jungle.2017.1080p.WEB-DL.DD5.1.H264-FGT;4,1;1;1
\\192.168.0.99\Media\;filmes;2021;Raya.and.the.Last.Dragon.2021.1080p.WEBRip.x264-RARBG;;\\192.168.0.99\Media\filmes\2021\Raya.and.the.Last.Dragon.2021.1080p.WEBRip.x264-RARBG;4,1;2;2
